date,O3,NO,NO2,NOXasNO2,site,code
2018-06-29,77.68817,0.66681,1.03874,2.06117,High Muffles,HM
2018-06-30,84.38485,0.60749,0.82966,1.76114,High Muffles,HM
2018-07-01,96.60851,0.57167,2.0431,2.91965,High Muffles,HM
2018-07-02,92.95874,0.61014,1.84211,2.77764,High Muffles,HM
2018-07-03,81.92972,0.66709,1.27766,2.30052,High Muffles,HM
2018-07-04,48.51145,0.74624,1.3794,2.52362,High Muffles,HM
2018-07-05,79.09694,0.673,2.92184,3.95377,High Muffles,HM
2018-07-06,69.25079,0.73787,1.86858,2.99997,High Muffles,HM
2018-07-07,80.30475,0.69879,2.83935,3.91082,High Muffles,HM
2018-07-08,59.20022,0.66755,2.47255,3.49611,High Muffles,HM
2018-07-09,49.26746,0.74542,1.26876,2.41172,High Muffles,HM
2018-07-10,58.465,0.59021,0.60595,1.51093,High Muffles,HM
2018-07-11,64.11256,0.60518,0.64157,1.5695,High Muffles,HM
2018-07-12,61.34837,0.62479,0.61139,1.56938,High Muffles,HM
2018-07-13,49.8925,0.81661,1.8796,3.13172,High Muffles,HM
2018-07-14,68.59526,0.80804,3.37396,4.61294,High Muffles,HM
2018-07-15,88.29309,0.58408,1.59084,2.48642,High Muffles,HM
2018-07-16,74.26845,0.67088,1.47143,2.5001,High Muffles,HM
2018-07-17,58.57865,0.75819,1.68956,2.85211,High Muffles,HM
2018-07-18,70.04006,0.60496,1.95324,2.88083,High Muffles,HM
2018-07-19,84.88377,0.70761,3.3145,4.39949,High Muffles,HM
2018-07-20,74.15966,0.58813,2.1061,3.0079,High Muffles,HM
2018-07-21,47.25513,0.77434,1.4383,2.62561,High Muffles,HM
2018-07-22,49.63957,0.61491,1.20999,2.15284,High Muffles,HM
2018-07-23,48.56273,0.72603,2.12896,3.24218,High Muffles,HM
2018-07-24,51.19109,0.80563,1.31295,2.54823,High Muffles,HM
2018-07-25,62.92414,0.71528,2.20403,3.30077,High Muffles,HM
2018-07-26,102.84369,0.53382,2.69248,3.51099,High Muffles,HM
2018-07-27,,,,,High Muffles,HM
2018-07-28,,,,,High Muffles,HM
2018-07-29,,,,,High Muffles,HM
2018-07-30,,,,,High Muffles,HM
2018-07-31,,,,,High Muffles,HM
2018-08-01,58.83019,0.96144,5.73128,7.20546,High Muffles,HM
2018-08-02,51.43463,0.85413,4.66163,5.97128,High Muffles,HM
2018-08-03,30.99017,0.95846,1.75929,3.22891,High Muffles,HM
2018-08-04,53.49446,0.72107,2.29346,3.39908,High Muffles,HM
2018-08-05,67.06106,0.53581,2.76352,3.58508,High Muffles,HM
2018-08-06,57.97924,0.58795,2.28053,3.18205,High Muffles,HM
2018-08-07,64.86787,0.45017,2.49569,3.18593,High Muffles,HM
2018-08-08,58.13516,0.75138,2.34999,3.50208,High Muffles,HM
2018-08-09,58.09012,0.53119,1.20911,2.02359,High Muffles,HM
2018-08-10,50.9638,0.67598,2.67664,3.71313,High Muffles,HM
2018-08-11,63.00314,0.59173,2.38145,3.28875,High Muffles,HM
2018-08-12,28.83163,0.92788,4.48076,5.90349,High Muffles,HM
2018-08-13,45.89278,0.57126,2.72772,3.60364,High Muffles,HM
2018-08-14,48.1816,0.74587,1.46026,2.6039,High Muffles,HM
2018-08-15,45.77983,0.98473,3.35368,4.86357,High Muffles,HM
2018-08-16,,,,,High Muffles,HM
2018-08-17,,,,,High Muffles,HM
2018-08-18,39.19194,0.77808,2.9029,4.09594,High Muffles,HM
2018-08-19,32.31648,0.70663,2.75808,3.84156,High Muffles,HM
2018-08-20,34.74805,0.5938,2.6056,3.51607,High Muffles,HM
